user_id,merchant_id,recency_days,frequency,monetary_value,session_failures,payment_friction_index,active_support_tickets,is_deleted,churned
7590-VHVEG,1,3,3,29.85,4,0.6482362669824373,0,False,0
5575-GNVDE,1,26,136,56.95,3,0.20723189907215117,0,False,0
3668-QPYBK,1,58,4,53.85,11,0.22730027893437132,0,True,1
7795-CFOCW,1,25,90,42.3,0,0.21675144151090653,1,False,0
9237-HQITU,1,72,4,70.7,6,0.8554444730294238,0,True,1
9305-CDSKC,1,37,32,99.65,8,0.6703499826785644,0,False,1
1452-KIOVK,1,20,44,89.1,4,0.2654777713254574,0,False,0
6713-OKOMC,1,22,20,29.75,5,0.324589984145772,0,False,0
7892-POOKP,1,87,56,104.8,4,0.6928709220539522,1,True,1
6388-TABGU,1,29,124,56.15,5,0.27488937000837066,0,False,0
9763-GRSKD,1,1,52,49.95,3,0.35824960704975706,0,False,0
7469-LKBCI,1,20,64,18.95,2,0.2872543926822484,0,False,0
8091-TTVAX,1,6,116,100.35,4,0.36242765421657985,0,False,0
0280-XJGEX,1,53,98,103.7,9,0.19082972517475116,0,False,1
5129-JLPIS,1,15,75,105.5,2,0.6321319951214027,1,False,0
3655-SNQYZ,1,26,207,113.25,2,0.3458561369647808,2,False,0
8191-XWSZG,1,26,104,20.65,1,0.21475537239247283,0,False,0
9959-WOFKT,1,14,142,106.7,4,0.2953253714923721,0,False,0
4190-MFLUW,1,32,30,55.2,6,0.321193358940878,1,True,1
4183-MYFRB,1,15,63,90.05,4,0.5218556562492769,0,False,0
8779-QRDMV,1,82,2,39.65,5,0.5599746204964713,0,True,1
1680-VDCWW,1,25,48,19.8,0,0.3684779545418513,0,False,0
1066-JKSGK,1,53,4,20.15,7,0.36393797057154165,0,True,1
3638-WEABW,1,24,116,59.9,2,0.3248071232538294,2,False,0
6322-HRPFA,1,25,98,59.6,2,0.32882185958305077,1,False,0
6865-JZNKO,1,26,90,55.3,3,0.36930533472439964,0,False,0
6467-CHFZW,1,31,141,99.35,10,0.8065630856956634,0,True,1
8665-UTDHZ,1,89,4,30.2,11,0.5188737112870945,0,True,1
5248-YGIJN,1,17,144,90.25,2,0.1362348038920056,2,False,0
8773-HHUOZ,1,62,51,64.7,9,0.2265652299924212,0,False,1
3841-NFECX,1,16,284,96.35,0,0.1262030247561029,2,False,0
4929-XIHVW,1,12,8,95.5,6,0.13473123309723653,0,False,0
6827-IEAUQ,1,15,108,66.15,0,0.3850516278509709,1,False,0
7310-EGVHZ,1,23,3,20.2,0,0.30276608818074696,0,False,0
3413-BMNZE,1,4,3,45.25,3,0.3554826101410897,0,False,0
6234-RAAPL,1,27,144,99.9,1,0.29286975798204723,1,False,0
6047-YHPVI,1,56,10,69.7,13,0.7079479367894301,0,False,1
6572-ADKRS,1,21,184,74.8,5,0.10754763473847484,0,False,0
5380-WJKOV,1,71,136,106.35,11,0.7656843892052725,0,False,1
8168-UQWWF,1,57,33,97.85,11,0.12127974161577439,0,True,1
8865-TNMNX,1,22,30,49.55,4,0.2830489198059498,0,False,0
9489-DEDVP,1,8,140,69.2,2,0.13066096351915463,0,False,0
9867-JCZSP,1,23,34,20.75,1,0.18524430357687052,0,False,0
4671-VJLCL,1,3,126,79.85,1,0.15574523718963842,2,False,0
4080-IIARD,1,8,39,76.2,2,0.7298918928170701,2,False,0
3714-NTNFO,1,18,196,84.5,5,0.7955709171786693,0,False,0
5948-UJZLF,1,10,4,49.25,5,0.2906866923393149,0,False,0
7760-OYPDY,1,81,4,80.65,13,0.6953852958033456,0,False,1
7639-LIAYI,1,20,156,79.75,1,0.37267944886399085,2,False,0
2954-PIBKO,1,17,138,64.15,1,0.32482756839133164,2,False,0
8012-SOUDQ,1,8,172,90.25,4,0.68309887386938,0,False,0
9420-LOJKX,1,80,45,99.1,6,0.22491762755795963,0,False,1
6575-SUVOI,1,11,50,69.5,1,0.3596069013316361,2,False,0
7495-OOKFY,1,50,16,80.65,10,0.2937584165697534,0,True,1
4667-QONEA,1,5,180,74.85,0,0.14068233482240144,1,False,0
1658-BYGOY,1,68,54,95.45,11,0.4428447023496211,0,True,1
8769-KKTPH,1,13,126,99.65,2,0.17321032410573534,0,False,0
5067-XJQFU,1,21,264,108.45,2,0.5308481963366353,1,False,0
3957-SQXML,1,23,102,24.95,1,0.35127035982425703,0,False,0
5954-BDFSG,1,5,288,107.5,0,0.322373367107589,1,False,0
0434-CSFON,1,24,94,100.5,3,0.8089123307401159,0,False,0
1215-FIGMP,1,27,240,89.9,2,0.2677524396239518,0,False,0
0526-SXDJP,1,13,144,42.1,2,0.32432249548239844,0,False,0
0557-ASKVU,1,6,36,54.4,2,0.18258501557278745,2,False,0
5698-BQJOH,1,55,18,94.4,7,0.7197790087199607,0,False,1
5122-CYFXA,1,5,6,75.3,0,0.6810208580665235,1,False,0
8627-ZYGSZ,1,9,188,78.9,2,0.8249546152483003,0,False,0
3410-YOQBQ,1,27,62,79.2,0,0.2609210532625251,2,False,0
3170-NMYVV,1,16,100,20.15,2,0.2947015442785531,0,False,0
7410-OIEDU,1,2,40,79.85,4,0.16091464303146966,0,False,0
2273-QCKXA,1,1,3,49.05,0,0.3210277270379355,1,False,0
0731-EBJQB,1,8,208,20.4,0,0.673872953544538,0,False,0
1891-QRQSA,1,28,256,111.6,2,0.2781213238559249,2,False,0
8028-PNXHQ,1,19,248,24.25,1,0.13470233871225948,0,False,0
5630-AHZIL,1,11,6,64.5,1,0.19385720689358293,2,False,0
2673-CXQEU,1,28,112,110.5,5,0.6912871297222829,0,False,0
6416-JNVRK,1,12,92,55.65,5,0.30314871742085026,0,False,0
5590-ZSKRV,1,12,24,54.65,2,0.19609813235956763,0,False,0
0191-ZHSKZ,1,7,60,74.75,4,0.851649206518324,0,False,0
3887-PBQAO,1,26,135,25.9,2,0.2115369374096211,0,False,0
5919-TMRGD,1,69,2,79.35,7,0.46506816811735113,0,True,1
8108-UXRQN,1,27,44,50.55,3,0.8178836557987612,0,False,0
9191-MYQKX,1,31,14,75.15,8,0.2932669508533124,0,True,1
9919-YLNNG,1,29,126,103.8,0,0.34058694841920933,2,False,0
0318-ZOPWS,1,29,147,20.15,2,0.20466694398006807,0,False,0
4445-ZJNMU,1,22,18,99.3,4,0.10528905764579376,0,False,0
4808-YNLEU,1,28,140,62.15,5,0.12212587709734839,0,False,0
1862-QRWPE,1,26,96,20.65,0,0.1335402342102482,0,False,0
2796-NNUFI,1,9,92,19.95,0,0.34154427344671057,0,False,0
3016-KSVCP,1,7,58,33.75,3,0.1904304263080472,0,False,0
4767-HZZHQ,1,26,120,82.05,2,0.3993695528267389,0,False,0
2424-WVHPL,1,21,3,74.7,1,0.729891940658129,2,False,0
7233-PAHHL,1,24,264,84.0,2,0.28034648592706957,2,False,0
