user_id,recency_days,frequency,monetary_value,churn_probability,segment
U00001,16.0,1,81.47,,
U00002,29.0,4,255.56,,
U00003,14.0,55,7236.08,,
U00004,56.0,7,580.44,,
U00005,16.0,7,428.12,,
U00006,23.0,10,602.63,,
U00007,21.0,0,0.0,,
U00008,28.0,27,4376.19,,
U00009,99.0,46,5727.14,,
U00010,8.0,0,0.0,,
U00011,35.0,0,0.0,,
U00012,27.0,3,68.99,,
U00013,25.0,1,26.53,,
U00014,14.0,1,13.73,,
U00015,8.0,7,560.05,,
U00016,29.0,3,63.6,,
U00017,49.0,14,662.97,,
U00018,8.0,9,539.75,,
U00019,18.0,0,0.0,,
U00020,41.0,20,1024.63,,
U00021,8.0,0,0.0,,
U00022,74.0,0,0.0,,
U00023,6.0,6,293.86,,
U00024,22.0,0,0.0,,
U00025,88.0,1,107.82,,
U00026,15.0,2,35.25,,
U00027,4.0,47,7097.22,,
U00028,28.0,64,9503.35,,
U00029,9.0,36,4498.7,,
U00030,20.0,0,0.0,,
U00031,111.0,4,153.27,,
U00032,43.0,5,360.92,,
U00033,25.0,10,577.26,,
U00034,20.0,0,0.0,,
U00035,5.0,10,812.31,,
U00036,20.0,0,0.0,,
U00037,1.0,9,594.46,,
U00038,18.0,8,585.38,,
U00039,0.0,3,190.66,,
U00040,16.0,0,0.0,,
U00041,29.0,2,75.33,,
U00042,89.0,5,308.34,,
U00043,15.0,17,1311.11,,
U00044,8.0,11,724.54,,
U00045,17.0,8,467.14,,
U00046,15.0,10,649.16,,
U00047,9.0,0,0.0,,
U00048,11.0,58,8276.21,,
U00049,11.0,61,8723.02,,
U00050,83.0,2,86.93,,
U00051,12.0,13,865.12,,
U00052,19.0,0,0.0,,
U00053,83.0,48,6821.55,,
U00054,21.0,2,37.56,,
U00055,5.0,0,0.0,,
U00056,8.0,6,350.12,,
U00057,12.0,0,0.0,,
U00058,22.0,45,6651.19,,
U00059,99.0,2,127.0,,
U00060,5.0,1,35.2,,
U00061,7.0,2,59.02,,
U00062,5.0,0,0.0,,
U00063,16.0,2,41.79,,
U00064,4.0,46,6577.19,,
U00065,28.0,16,1038.83,,
U00066,16.0,1,10.44,,
U00067,16.0,14,892.7,,
U00068,28.0,0,0.0,,
U00069,22.0,3,113.48,,
U00070,23.0,0,0.0,,
U00071,2.0,0,0.0,,
U00072,5.0,1,16.52,,
U00073,22.0,1,37.53,,
U00074,18.0,0,0.0,,
U00075,96.0,2,45.41,,
U00076,27.0,0,0.0,,
U00077,22.0,17,1420.64,,
U00078,20.0,1,28.57,,
U00079,104.0,10,697.58,,
U00080,28.0,0,0.0,,
U00081,10.0,4,347.73,,
U00082,27.0,3,111.16,,
U00083,8.0,8,422.45,,
U00084,25.0,2,71.63,,
U00085,22.0,0,0.0,,
U00086,10.0,1,41.59,,
U00087,7.0,15,728.64,,
U00088,0.0,2,76.1,,
U00089,18.0,15,888.85,,
U00090,100.0,18,1203.61,,
U00091,18.0,1,45.71,,
U00092,0.0,0,0.0,,
U00093,16.0,1,6.91,,
U00094,13.0,3,56.99,,
U00095,74.0,11,736.45,,
U00096,22.0,13,978.36,,
U00097,8.0,1,25.66,,
U00098,22.0,1,47.86,,
U00099,24.0,0,0.0,,
U00100,3.0,0,0.0,,
U00101,29.0,9,549.27,,
U00102,10.0,0,0.0,,
U00103,18.0,0,0.0,,
U00104,117.0,1,17.58,,
U00105,5.0,8,414.33,,
U00106,16.0,8,684.86,,
U00107,28.0,4,220.84,,
U00108,7.0,0,0.0,,
U00109,7.0,10,541.32,,
U00110,7.0,38,5878.04,,
U00111,24.0,7,474.78,,
U00112,28.0,2,40.4,,
U00113,8.0,4,221.51,,
U00114,3.0,0,0.0,,
U00115,22.0,0,0.0,,
U00116,23.0,0,0.0,,
U00117,5.0,2,35.34,,
U00118,9.0,0,0.0,,
U00119,66.0,9,280.29,,
U00120,28.0,2,80.12,,
U00121,6.0,3,73.34,,
U00122,37.0,5,247.33,,
U00123,28.0,1,12.51,,
U00124,13.0,0,0.0,,
U00125,3.0,0,0.0,,
U00126,2.0,0,0.0,,
U00127,96.0,1,4.51,,
U00128,15.0,1,64.48,,
U00129,9.0,6,440.57,,
U00130,26.0,1,20.99,,
U00131,6.0,0,0.0,,
U00132,90.0,0,0.0,,
U00133,0.0,0,0.0,,
U00134,100.0,5,454.04,,
U00135,8.0,30,3081.98,,
U00136,87.0,0,0.0,,
U00137,8.0,11,686.15,,
U00138,10.0,11,780.77,,
U00139,12.0,0,0.0,,
U00140,56.0,58,7205.67,,
U00141,61.0,1,85.47,,
U00142,7.0,1,34.22,,
U00143,6.0,2,107.08,,
U00144,10.0,0,0.0,,
U00145,2.0,0,0.0,,
U00146,17.0,12,1024.75,,
U00147,27.0,14,736.57,,
U00148,16.0,0,0.0,,
U00149,4.0,8,365.86,,
U00150,20.0,0,0.0,,
U00151,7.0,10,864.26,,
U00152,17.0,0,0.0,,
U00153,9.0,0,0.0,,
U00154,1.0,14,998.77,,
U00155,12.0,3,199.06,,
U00156,85.0,6,384.85,,
U00157,22.0,1,8.46,,
U00158,23.0,45,5935.13,,
U00159,6.0,0,0.0,,
U00160,18.0,0,0.0,,
U00161,14.0,3,121.09,,
U00162,26.0,0,0.0,,
U00163,28.0,2,82.21,,
U00164,13.0,33,4245.55,,
U00165,10.0,1,18.9,,
U00166,18.0,1,32.83,,
U00167,95.0,1,10.01,,
U00168,12.0,11,525.13,,
U00169,6.0,52,7481.12,,
U00170,10.0,5,404.74,,
U00171,11.0,0,0.0,,
U00172,0.0,1,9.25,,
U00173,75.0,19,1418.6,,
U00174,75.0,1,37.38,,
U00175,8.0,13,873.01,,
U00176,8.0,0,0.0,,
U00177,1.0,0,0.0,,
U00178,25.0,1,22.05,,
U00179,20.0,2,59.62,,
U00180,0.0,3,94.1,,
U00181,1.0,0,0.0,,
U00182,18.0,0,0.0,,
U00183,15.0,15,958.85,,
U00184,11.0,5,178.19,,
U00185,5.0,0,0.0,,
U00186,3.0,0,0.0,,
U00187,18.0,8,490.49,,
U00188,25.0,17,1015.84,,
U00189,23.0,1,50.69,,
U00190,17.0,2,60.9,,
U00191,23.0,2,59.13,,
U00192,15.0,1,39.04,,
U00193,1.0,0,0.0,,
U00194,17.0,35,5662.34,,
U00195,3.0,53,8624.5,,
U00196,56.0,0,0.0,,
U00197,29.0,1,18.79,,
U00198,83.0,11,655.04,,
U00199,3.0,0,0.0,,
U00200,43.0,0,0.0,,
U00201,4.0,0,0.0,,
U00202,72.0,2,69.46,,
U00203,9.0,5,186.09,,
U00204,9.0,7,449.71,,
U00205,19.0,11,751.37,,
U00206,70.0,2,77.78,,
U00207,21.0,0,0.0,,
U00208,28.0,0,0.0,,
U00209,1.0,4,143.92,,
U00210,22.0,13,872.29,,
U00211,16.0,0,0.0,,
U00212,18.0,1,30.29,,
U00213,16.0,11,706.19,,
U00214,10.0,0,0.0,,
U00215,114.0,2,110.76,,
U00216,29.0,1,51.77,,
U00217,6.0,12,677.53,,
U00218,3.0,6,351.75,,
U00219,13.0,1,16.01,,
U00220,21.0,7,511.43,,
U00221,17.0,0,0.0,,
U00222,11.0,2,78.43,,
U00223,17.0,3,104.89,,
U00224,23.0,0,0.0,,
U00225,25.0,3,66.2,,
U00226,7.0,1,110.29,,
U00227,28.0,8,389.29,,
U00228,5.0,0,0.0,,
U00229,61.0,3,74.57,,
U00230,13.0,3,87.38,,
U00231,20.0,0,0.0,,
U00232,16.0,15,918.57,,
U00233,29.0,22,1720.57,,
U00234,20.0,2,40.07,,
U00235,27.0,7,358.56,,
U00236,9.0,1,15.87,,
U00237,0.0,8,579.24,,
U00238,25.0,2,72.94,,
U00239,26.0,1,14.9,,
U00240,26.0,10,838.1,,
U00241,28.0,2,39.68,,
U00242,9.0,2,33.51,,
U00243,3.0,41,5142.9,,
U00244,24.0,0,0.0,,
U00245,19.0,0,0.0,,
U00246,3.0,1,71.59,,
U00247,104.0,2,93.91,,
U00248,11.0,1,28.82,,
U00249,20.0,0,0.0,,
U00250,28.0,16,1049.7,,
U00251,22.0,6,301.82,,
U00252,20.0,11,566.8,,
U00253,24.0,2,68.77,,
U00254,20.0,41,5673.2,,
U00255,5.0,11,804.97,,
U00256,14.0,6,432.62,,
U00257,10.0,1,15.34,,
U00258,28.0,9,568.98,,
U00259,21.0,51,6593.71,,
U00260,96.0,6,337.69,,
U00261,11.0,0,0.0,,
U00262,13.0,2,44.18,,
U00263,25.0,54,9161.76,,
U00264,15.0,44,5343.88,,
U00265,25.0,49,7163.77,,
U00266,23.0,4,135.43,,
U00267,13.0,0,0.0,,
U00268,31.0,0,0.0,,
U00269,53.0,5,317.17,,
U00270,29.0,0,0.0,,
U00271,3.0,1,11.65,,
U00272,12.0,2,18.01,,
U00273,60.0,0,0.0,,
U00274,13.0,1,37.89,,
U00275,118.0,2,71.24,,
U00276,83.0,8,545.08,,
U00277,26.0,0,0.0,,
U00278,21.0,17,1048.09,,
U00279,19.0,2,117.66,,
