user_id,recency_days,frequency,monetary_value,total_events,view_count,cart_count,cart_abandonment_rate,avg_session_duration,purchase_recency_days,churned,churn_probability,risk_level,segment
U00001,5,9,560.1,61,37,15,0.4,8.15,9,0,0.0002,Low,At-Risk Spenders
U00002,25,1,13.36,14,13,0,1.0,7.96,68,0,0.0005,Low,Casual Browsers
U00003,28,2,41.91,23,18,3,0.3333333333333333,6.58,28,0,0.0002,Low,At-Risk Spenders
U00004,4,0,0.0,9,8,1,1.0,10.94,34,0,0.0002,Low,Casual Browsers
U00005,25,7,347.45,35,17,11,0.3636363636363636,6.92,53,0,0.0007,Low,At-Risk Spenders
U00006,28,6,274.88,52,28,18,0.6666666666666667,6.69,43,0,0.0004,Low,At-Risk Spenders
U00007,94,0,0.0,13,12,1,1.0,13.48,124,1,0.9998,High,Churned
U00008,7,0,0.0,21,16,5,1.0,5.43,37,0,0.0002,Low,Casual Browsers
U00009,9,11,575.07,38,20,7,0.0,5.48,97,0,0.0015,Low,At-Risk Spenders
U00010,23,58,9716.46,193,33,102,0.4313725490196078,7.11,23,0,0.0002,Low,High-Value Loyalists
U00011,107,2,107.23,17,14,1,0.0,9.31,115,1,0.9996,High,Churned
U00012,11,3,137.03,13,10,0,1.0,5.07,11,0,0.0002,Low,Casual Browsers
U00013,16,3,163.65,16,12,1,0.0,6.45,56,0,0.0005,Low,At-Risk Spenders
U00014,11,8,387.61,36,17,11,0.2727272727272727,7.05,13,0,0.0002,Low,At-Risk Spenders
U00015,22,0,0.0,20,16,4,1.0,7.02,52,0,0.0002,Low,Casual Browsers
U00016,21,8,467.88,52,28,16,0.5,7.05,26,0,0.0002,Low,At-Risk Spenders
U00017,25,2,38.0,13,9,2,0.0,7.79,25,0,0.0002,Low,At-Risk Spenders
U00018,23,9,531.11,40,15,16,0.4375,7.68,23,0,0.0002,Low,At-Risk Spenders
U00019,19,7,355.51,48,24,17,0.5882352941176471,7.49,32,0,0.0003,Low,At-Risk Spenders
U00020,6,1,14.49,13,10,2,0.5,7.05,13,0,0.0002,Low,At-Risk Spenders
U00021,19,2,74.84,24,19,3,0.3333333333333333,9.14,129,0,0.0008,Low,At-Risk Spenders
U00022,34,0,0.0,12,11,1,1.0,13.06,64,1,0.9998,High,Churned
U00023,23,8,391.37,35,15,12,0.3333333333333333,8.09,23,0,0.0002,Low,At-Risk Spenders
U00024,1,3,96.81,42,22,17,0.8235294117647058,10.44,4,0,0.0002,Low,Casual Browsers
U00025,12,36,5996.52,128,21,71,0.4929577464788732,6.75,14,0,0.0002,Low,High-Value Loyalists
U00026,11,15,937.0,73,37,21,0.2857142857142857,7.3,27,0,0.0002,Low,At-Risk Spenders
U00027,14,11,546.65,63,29,23,0.5217391304347826,8.34,16,0,0.0002,Low,At-Risk Spenders
U00028,16,10,593.56,55,28,17,0.4117647058823529,6.93,22,0,0.0002,Low,At-Risk Spenders
U00029,13,0,0.0,6,6,0,1.0,2.97,43,0,0.0002,Low,Casual Browsers
U00030,75,4,107.55,24,18,2,0.0,9.29,88,1,0.9997,High,Churned
U00031,19,6,380.94,50,32,12,0.5,9.52,32,0,0.0003,Low,At-Risk Spenders
U00032,2,0,0.0,4,4,0,1.0,10.18,32,0,0.0002,Low,Casual Browsers
U00033,85,7,596.52,31,12,12,0.4166666666666666,7.93,104,1,0.9997,High,Churned
U00034,20,0,0.0,8,8,0,1.0,5.39,50,0,0.0002,Low,Casual Browsers
U00035,5,12,828.97,64,31,21,0.4285714285714286,7.04,37,0,0.0005,Low,At-Risk Spenders
U00036,7,13,928.89,65,28,24,0.4583333333333333,7.51,7,0,0.0002,Low,At-Risk Spenders
U00037,16,12,1147.48,48,20,16,0.25,6.66,61,0,0.0012,Low,At-Risk Spenders
U00038,92,1,39.64,17,13,3,0.6666666666666667,10.85,124,1,0.9995,High,Churned
